"source" "target" "weight" "type"
card number 0.3529 undirected
card doctor 0.1644 undirected
card wii 0.0089 undirected
card telephon 0.0217 undirected
card transact 0.3802 undirected
card attornei 0.0173 undirected
card date 0.0227 undirected
card countri 0.0831 undirected
card identifi 0.0923 undirected
card compromis 0.0417 undirected
card amazon 0.2396 undirected
card system 0.0337 undirected
card visa 0.3117 undirected
card debit 0.3756 undirected
card birth 0.0008 undirected
card group 0.5322 undirected
card passport 0.0573 undirected
card applic 0.0455 undirected
card sign 0.0422 undirected
card name 0.0715 undirected
card pai 0.0751 undirected
card proof 0.4404 undirected
card busi 0.0636 undirected
card store 0.1118 undirected
card secur 0.0626 undirected
card account 0.1565 undirected
card locat 0.0702 undirected
card devic 0.0847 undirected
card ship 0.1300 undirected
card shop 0.0801 undirected
card sale 0.0274 undirected
card uniqu 0.0511 undirected
card institut 0.0063 undirected
card bank 0.6747 undirected
card person 0.0265 undirected
card credit 0.1496 undirected
certif passport 0.3726 undirected
certif applic 0.0344 undirected
certif mother 0.0849 undirected
certif seri 0.0180 undirected
certif name 0.2499 undirected
certif corpor 0.7060 undirected
certif children 0.0077 undirected
certif user 0.0251 undirected
certif secur 0.1094 undirected
certif occup 0.0324 undirected
certif social 0.1104 undirected
certif util 0.0290 undirected
certif websit 0.0288 undirected
certif photograph 0.0595 undirected
certif administr 0.0467 undirected
certif ident 0.0642 undirected
certif employ 0.0121 undirected
check model 0.4074 undirected
check custom 0.0582 undirected
check properti 0.0721 undirected
check loan 0.0738 undirected
check attach 0.0096 undirected
check term 0.0023 undirected
check secret 0.0305 undirected
check mail 0.0427 undirected
check male 0.0002 undirected
check address 0.5600 undirected
check doctor 0.0305 undirected
check postal 0.0211 undirected
check employe 0.0915 undirected
check telephon 0.0691 undirected
check balanc 0.0396 undirected
check establish 0.2117 undirected
check code 0.2483 undirected
check transact 0.6287 undirected
check attornei 0.0134 undirected
check flag 0.1579 undirected
check vehicl 0.0128 undirected
check connect 0.0206 undirected
check identifi 0.3334 undirected
check passport 0.0100 undirected
check design 0.0152 undirected
check mother 0.0296 undirected
check seri 0.0638 undirected
check ssn 0.0646 undirected
check tax 0.2278 undirected
check sign 0.0072 undirected
check name 0.1196 undirected
check busi 0.2218 undirected
check account 0.2326 undirected
check shop 0.0031 undirected
check refund 0.8492 undirected
check institut 0.9147 undirected
check bank 0.0983 undirected
check sourc 0.0033 undirected
check person 0.0136 undirected
check employ 0.0131 undirected
children user 0.0831 undirected
children locat 0.1893 undirected
children social 0.1049 undirected
children photograph 0.0304 undirected
children parent 0.8757 undirected
children network 0.1608 undirected
children android 0.0435 undirected
children equifax 0.0188 undirected
children bureau 0.0150 undirected
children person 0.0116 undirected
children internet 0.1313 undirected
children student 0.1033 undirected
code qualifi 0.0816 undirected
code assist 0.0219 undirected
code publish 0.0540 undirected
code ipad 0.1560 undirected
code street 0.0099 undirected
code attornei 0.3222 undirected
code login 0.1216 undirected
code countri 0.0447 undirected
code compromis 0.1297 undirected
code express 0.0211 undirected
code amazon 0.0157 undirected
code birth 0.0027 undirected
code group 0.0247 undirected
code digit 0.0098 undirected
code certif 0.0209 undirected
code passport 0.0464 undirected
code applic 0.0087 undirected
code design 0.1235 undirected
code mother 0.1587 undirected
code tax 0.0378 undirected
code name 0.0122 undirected
code depend 0.1040 undirected
code pai 0.0128 undirected
code user 0.0694 undirected
code store 0.0098 undirected
code speed 0.0238 undirected
code account 0.0153 undirected
code ship 0.1015 undirected
code shop 0.0755 undirected
code rank 0.0243 undirected
code websit 0.1092 undirected
code photograph 0.0023 undirected
code refund 0.0120 undirected
code sale 0.0067 undirected
code servic 0.0171 undirected
code uniqu 0.0875 undirected
code equifax 0.0125 undirected
code twitter 0.1176 undirected
code bureau 0.0554 undirected
code person 0.0119 undirected
code comput 0.0912 undirected
code militari 0.1379 undirected
code employ 0.1728 undirected
code password 0.1255 undirected
colleg seri 0.0464 undirected
colleg sign 0.1168 undirected
colleg pai 0.0298 undirected
colleg busi 0.1932 undirected
colleg rank 0.0672 undirected
colleg util 0.0478 undirected
colleg rate 0.0776 undirected
colleg websit 0.0019 undirected
colleg email 0.0761 undirected
colleg twitter 0.0026 undirected
colleg ident 0.0423 undirected
colleg student 0.1080 undirected
color school 0.0025 undirected
color attach 0.0002 undirected
color term 0.0573 undirected
color displai 0.0100 undirected
color adult 0.0528 undirected
color residenti 0.0031 undirected
color male 0.1645 undirected
color address 0.0082 undirected
color web 0.0199 undirected
color wii 0.0012 undirected
color profil 0.4152 undirected
color photo 0.0703 undirected
color publish 0.0218 undirected
color linkedin 0.0957 undirected
color degre 0.0061 undirected
color date 0.1781 undirected
color connect 0.1496 undirected
color amazon 0.0145 undirected
color visa 0.1722 undirected
color femal 0.1818 undirected
color birth 0.0720 undirected
color set 0.3062 undirected
color certif 0.0224 undirected
color sign 0.0990 undirected
color proof 0.2576 undirected
color site 0.0343 undirected
color user 0.3525 undirected
color devic 0.0752 undirected
color photograph 0.3269 undirected
color registr 0.0224 undirected
color network 0.1085 undirected
color twitter 0.0085 undirected
color person 0.0678 undirected
color internet 0.0347 undirected
color student 0.0105 undirected
compromis amazon 0.3902 undirected
compromis system 0.0198 undirected
compromis media 0.0039 undirected
compromis group 0.2496 undirected
compromis digit 0.0409 undirected
compromis passport 0.0633 undirected
compromis design 0.0852 undirected
compromis level 0.0885 undirected
compromis seri 0.0103 undirected
compromis ssn 0.1189 undirected
compromis tax 0.0231 undirected
compromis sign 0.0702 undirected
compromis user 0.3302 undirected
compromis secur 0.0062 undirected
compromis account 0.3014 undirected
compromis ship 0.0156 undirected
compromis shop 0.0675 undirected
compromis medicar 0.0374 undirected
compromis rank 0.1873 undirected
compromis social 0.1213 undirected
compromis websit 0.6239 undirected
compromis email 0.4069 undirected
compromis parent 0.0425 undirected
compromis administr 0.1104 undirected
compromis registr 0.0677 undirected
compromis network 0.0804 undirected
compromis servic 0.1396 undirected
compromis uniqu 0.6109 undirected
compromis mortgag 0.0108 undirected
compromis bank 0.0365 undirected
compromis twitter 0.6603 undirected
compromis person 0.2312 undirected
compromis comput 0.0467 undirected
compromis ident 0.1893 undirected
compromis credit 0.0236 undirected
compromis password 0.6828 undirected
comput internet 0.0125 undirected
comput credit 0.0080 undirected
comput student 0.0543 undirected
comput password 0.1311 undirected
connect express 0.0090 undirected
connect amazon 0.4603 undirected
connect visa 0.0867 undirected
connect femal 0.0876 undirected
connect debit 0.1753 undirected
connect media 0.0237 undirected
connect histori 0.4598 undirected
connect set 0.0422 undirected
connect certif 0.0114 undirected
