"source" "target" "weight" "type"
"attached" "middle" 0.0817 "undirected"
"attached" "address" 0.0689 "undirected"
"attached" "status" 0.0042 "undirected"
"attached" "number" 0.1120 "undirected"
"attached" "doctors" 0.1732 "undirected"
"attached" "postal" 0.0207 "undirected"
"attached" "price" 0.0315 "undirected"
"attached" "code" 0.0483 "undirected"
"attached" "bill" 0.0103 "undirected"
"attached" "photo" 0.0631 "undirected"
"attached" "publish" 0.0037 "undirected"
"attached" "linkedin" 0.0269 "undirected"
"attached" "assigned" 0.0089 "undirected"
"attached" "transactions" 0.0308 "undirected"
"attached" "ipad" 0.0791 "undirected"
"attached" "ticket" 0.0256 "undirected"
"attached" "date" 0.0251 "undirected"
"attached" "country" 0.2763 "undirected"
"attached" "identifier" 0.0380 "undirected"
"attached" "compromised" 0.1010 "undirected"
"attached" "visa" 0.0365 "undirected"
"attached" "debit" 0.0221 "undirected"
"attached" "group" 0.0447 "undirected"
"attached" "passport" 0.1806 "undirected"
"attached" "application" 0.0080 "undirected"
"attached" "level" 0.0193 "undirected"
"attached" "series" 0.0438 "undirected"
"attached" "name" 0.0285 "undirected"
"attached" "pay" 0.0392 "undirected"
"attached" "user" 0.0106 "undirected"
"attached" "secure" 0.1877 "undirected"
"attached" "locator" 0.0456 "undirected"
"attached" "device" 0.0650 "undirected"
"attached" "shopping" 0.0118 "undirected"
"attached" "social" 0.2311 "undirected"
"attached" "sales" 0.0600 "undirected"
"attached" "registration" 0.0240 "undirected"
"attached" "unique" 0.1844 "undirected"
"attached" "mortgage" 0.0048 "undirected"
"attached" "equifax" 0.1243 "undirected"
"attached" "banking" 0.0531 "undirected"
"attached" "bureau" 0.0388 "undirected"
"attached" "personal" 0.0427 "undirected"
"attached" "identity" 0.0142 "undirected"
"attached" "credit" 0.1457 "undirected"
"attorney" "degree" 0.1640 "undirected"
"attorney" "flag" 0.0698 "undirected"
"attorney" "date" 0.0834 "undirected"
"attorney" "vehicle" 0.1382 "undirected"
"attorney" "birth" 0.1057 "undirected"
"attorney" "group" 0.0297 "undirected"
"attorney" "settings" 0.0007 "undirected"
"attorney" "certification" 0.0591 "undirected"
"attorney" "passport" 0.0487 "undirected"
"attorney" "application" 0.0076 "undirected"
"attorney" "level" 0.1461 "undirected"
"attorney" "college" 0.0240 "undirected"
"attorney" "mothers" 0.0027 "undirected"
"attorney" "series" 0.0065 "undirected"
"attorney" "sign" 0.1169 "undirected"
"attorney" "name" 0.0509 "undirected"
"attorney" "pay" 0.0183 "undirected"
"attorney" "corporation" 0.0595 "undirected"
"attorney" "speed" 0.0723 "undirected"
"attorney" "ship" 0.4201 "undirected"
"attorney" "occupations" 0.0834 "undirected"
"attorney" "medicare" 0.0294 "undirected"
"attorney" "rank" 0.0048 "undirected"
"attorney" "utility" 0.1763 "undirected"
"attorney" "sales" 0.0062 "undirected"
"attorney" "administrator" 0.1449 "undirected"
"attorney" "mortgage" 0.1843 "undirected"
"attorney" "insurer" 0.0285 "undirected"
"attorney" "military" 0.0057 "undirected"
"attorney" "identity" 0.0351 "undirected"
"attorney" "employer" 0.0287 "undirected"
"attorney" "student" 0.0805 "undirected"
"balance" "established" 0.0028 "undirected"
"balance" "profile" 0.0052 "undirected"
"balance" "public" 0.0986 "undirected"
"balance" "qualifier" 0.0238 "undirected"
"balance" "vendor" 0.0001 "undirected"
"balance" "assigned" 0.0568 "undirected"
"balance" "transactions" 0.0171 "undirected"
"balance" "degree" 0.0006 "undirected"
"balance" "flag" 0.2192 "undirected"
"balance" "measurements" 0.0108 "undirected"
"balance" "compromised" 0.0478 "undirected"
"balance" "system" 0.0034 "undirected"
"balance" "visa" 0.1483 "undirected"
"balance" "medical" 0.0174 "undirected"
"balance" "digits" 0.0868 "undirected"
"balance" "history" 0.0563 "undirected"
"balance" "score" 0.4664 "undirected"
"balance" "agency" 0.1393 "undirected"
"balance" "design" 0.0008 "undirected"
"balance" "level" 0.1331 "undirected"
